Region,Total Regions,,,  Northland Region,,,  Auckland Region,,,  Waikato Region,,,  Bay of Plenty Region,,,  Gisborne/Hawkes Bay Regions,,,  Taranaki Region,,,  Manawatu-Wanganui Region,,,  Wellington Region,,,  Nelson/Tasman/Marlborough/West Coast Regions,,,  Canterbury Region,,,  Otago Region,,,  Southland Region,,
Year,Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000),Average Weekly Earnings,Median Weekly Earnings,Number of People (000)
1998,584,518,1693.8,474,440,53.4,662,575,540.4,559,518,152.8,545,500,98,535,476,76.9,545,500,44.3,472,430,91.8,661,575,214.5,473,435,73.2,508,462,216.5,517,480,87.7,620,537,44.3
1999,602,520,1734.8,540,478,51.9,665,575,555.4,541,484,161.3,569,500,99.8,535,460,81.7,533,460,46.2,493,460,95.5,721,610,206.1,491,440,73.1,578,498,232.3,519,468,85.4,528,450,46.2
2000,609,537,1757.2,487,438,57,701,600,555.5,561,520,169,526,480,105,539,493,82,543,479,44.6,535,480,90.9,679,595,220,517,480,74.3,575,500,231.8,489,448,84.6,554,527,42.5
2001,641,560,1813.3,542,499,57.1,721,600,572.2,597,537,166.4,591,520,102,576,520,83.5,597,537,47.2,586,518,95.5,705,614,230.3,548,500,78.8,575,520,248.8,560,510,86.7,653,550,44.8
2002,664,575,1878.9,574,496,59.2,743,624,598.6,633,575,176.4,597,543,108.8,597,540,86,602,519,51.9,588,506,100.1,750,640,227.9,594,534,78.3,607,537,255,552,504,92,637,575,44.7
2003,704,600,1919.9,593,510,62.2,803,671,612.2,642,575,184,659,575,108,631,553,90.4,678,580,50.7,613,522,102.1,766,635,229.7,589,537,79.7,655,575,259.2,581,527,95,686,556,46.7
2004,725,614,1981.8,614,537,62.6,850,671,640.8,674,614,189.4,610,556,118.3,618,560,90.1,627,575,50.6,657,595,103,758,671,228.7,631,552,81.3,679,600,271.7,601,552,97.6,647,560,47.7
2005,748,640,2049.3,713,588,67,851,690,656.1,717,666,188.6,629,590,118.4,642,578,94,694,629,53.1,661,614,107.6,774,650,235.7,676,581,88.3,704,636,291.6,683,614,99.2,674,575,49.6
2006,760,671,2118.5,660,575,70.7,815,705,683.9,716,659,199.8,667,610,129.1,689,609,98.1,734,628,54.4,657,595,109.3,843,736,237.1,700,624,86.1,768,652,297,721,638,102.9,710,640,50.1
2007,818,710,2142.5,712,600,74.4,875,750,692.1,775,681,200.1,728,671,131.2,697,640,96.3,763,671,55.6,702,633,105.5,984,767,253.1,767,672,85.7,784,689,293.5,723,671,103.8,760,671,51
2008,843,729,2152.9,696,633,68.7,923,767,707.8,780,700,204,753,680,126.6,753,700,97.6,835,710,55,732,670,106.5,964,800,248.7,794,700,88.9,793,686,297.7,745,667,101.3,801,690,50.1
2009,870,760,2121.8,751,700,68,917,796,689.9,821,720,200.2,772,673,126.8,789,720,93.3,838,759,55.1,763,700,108,1046,806,252.7,818,709,86.8,844,731,287.9,794,729,102.3,759,695,50.7
2010,889,767,2127.7,777,698,70,954,801,684,819,738,196.5,790,718,127.2,800,718,93.6,852,725,56.6,788,710,108.2,1033,840,251.8,802,719,88,855,750,294.6,831,765,107.3,860,740,50
2011,902,769,2145.7,784,660,71.6,988,844,702.3,842,750,203.7,777,693,128.8,775,698,93.7,844,767,54.5,775,715,110,1000,863,252.1,824,705,87.7,893,767,280.9,840,735,109.4,829,760,51
2012,935,800,2142.3,791,690,67.6,1036,863,714.4,941,783,199.6,824,740,123.1,815,720,96.1,931,800,56.9,791,715,109.7,1013,850,249.6,817,720,87.6,880,767,279.1,822,737,107.5,858,720,51.2
2013,965,836,2154.2,858,756,66.3,1037,882,708.3,898,788,202.6,880,777,127.5,796,756,92.6,917,800,58.5,831,750,103.1,1095,921,252.1,840,748,88.8,967,833,299.3,912,810,106,892,806,48.8
2014,1014,859,2234.5,895,798,70.3,1090,901,748.8,933,800,204,892,798,129.2,850,767,93.2,1041,880,56.8,841,738,104.3,1139,959,261.9,914,760,88.5,994,825,315.4,995,806,111.3,1000,840,50.6
2015,1031,880,2297.6,918,829,72.2,1115,927,776.9,1002,863,213.5,944,829,141.5,871,770,97,1065,900,56,834,755,107.2,1147,946,262.4,925,777,88.5,983,863,317.4,963,863,112.9,970,880,52.2
2016,1086,924,2433.3,945,850,75,1180,983,836.9,1080,921,225,927,843,146.9,1006,850,101.9,983,844,57.5,870,812,119.8,1253,1007,279.9,1008,810,91.4,1029,921,331.1,915,833,112.3,1010,903,55.6
